type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),color,width,opacity,name,desc
T,42.004221892,-104.054981768,1233.5,0.4,46.439,221.56,,,,,
T,42.004374945,-104.055272369,1233.4,-0.2,46.469,29.47,,,,,
T,42.006321978,-104.059065599,1234.2,0.2,46.850,381.47,,,,,
T,42.008770080,-104.063853342,1235.2,0.2,47.331,480.88,,,,,
T,42.012201296,-104.070561128,1237.5,0.3,48.005,673.80,,,,,
T,42.013832582,-104.073750609,1238.0,0.1,48.325,320.36,,,,,
T,42.015455989,-104.076942271,1237.6,-0.1,48.645,320.01,,,,,
T,42.019796306,-104.085427271,1237.2,-0.0,49.497,852.25,,,,,
T,42.022376005,-104.090904258,1235.5,-0.3,50.034,536.54,,,,,
T,42.025920376,-104.099176442,1236.3,0.1,50.824,790.16,,,,,
T,42.030047374,-104.108761903,1238.2,0.2,51.741,916.66,,,,,
T,42.033453528,-104.116694955,1238.8,0.1,52.499,758.09,,,,,
T,42.037296714,-104.125615647,1239.3,0.1,53.352,853.15,,,,,
T,42.039705841,-104.131232193,1241.3,0.4,53.889,536.55,,,,,
T,42.042831453,-104.138498967,1242.8,0.2,54.583,694.65,,,,,
T,42.046507504,-104.147115732,1242.8,0.0,55.405,821.99,,,,,
T,42.049624901,-104.154399438,1244.4,0.2,56.101,695.35,,,,,
T,42.050569793,-104.156595748,1244.4,-0.0,56.311,209.94,,,,,
T,42.051825821,-104.159524385,1244.3,-0.0,56.590,279.72,,,,,
T,42.053166423,-104.162514377,1244.3,-0.0,56.879,288.86,,,,,
T,42.054567458,-104.165814836,1245.3,0.3,57.194,314.43,,,,,
T,42.056746921,-104.170961743,1247.0,0.4,57.684,490.03,,,,,
T,42.058443082,-104.174912721,1247.5,0.1,58.061,377.43,,,,,
T,42.059384454,-104.177114312,1248.3,0.4,58.271,210.10,,,,,
T,42.060597567,-104.179987209,1249.0,0.2,58.544,273.32,,,,,
T,42.061859211,-104.182969742,1250.3,0.5,58.828,283.87,,,,,
T,42.062358772,-104.183546333,1250.4,0.1,58.901,73.19,,,,,
T,42.062608888,-104.184057964,1250.6,0.4,58.952,50.65,,,,,
T,42.062807959,-104.184514023,1250.7,0.2,58.996,43.75,,,,,
T,42.063440206,-104.185941964,1250.9,0.2,59.133,137.48,,,,,
T,42.064400688,-104.188123355,1251.6,0.3,59.343,209.71,,,,,
T,42.064625323,-104.188613193,1251.6,0.1,59.391,47.61,,,,,
T,42.064611576,-104.188599028,1251.6,-0.5,59.393,1.93,,,,,
T,42.064609816,-104.188597184,1251.6,-0.4,59.393,0.25,,,,,
T,42.064650133,-104.188687457,1251.6,0.3,59.402,8.71,,,,,
T,42.065017596,-104.189587925,1251.8,0.1,59.487,84.97,,,,,
T,42.065883866,-104.191664122,1251.8,0.0,59.683,196.94,,,,,
T,42.066586604,-104.193178061,1251.9,0.0,59.831,147.62,,,,,
T,42.067407779,-104.195470763,1252.0,0.0,60.042,210.54,,,,,
T,42.068163073,-104.197478313,1252.4,0.2,60.228,186.13,,,,,
T,42.069116095,-104.199702954,1253.3,0.4,60.440,212.38,,,,,
T,42.071054829,-104.204232115,1253.4,0.0,60.872,432.29,,,,,
T,42.073257007,-104.209389249,1254.3,0.2,61.364,491.92,,,,,
T,42.074493505,-104.211685304,1254.9,0.2,61.599,234.45,,,,,
T,42.077129949,-104.215178294,1255.1,0.1,62.010,411.47,,,,,
T,42.077546613,-104.216731461,1255.4,0.2,62.147,136.60,,,,,
T,42.077597994,-104.218633231,1255.5,0.1,62.304,157.48,,,,,
T,42.078001667,-104.220445650,1255.5,-0.0,62.461,156.54,,,,,
T,42.079585511,-104.224162772,1256.8,0.4,62.815,354.34,,,,,
T,42.081800094,-104.229314206,1257.5,0.1,63.307,492.14,,,,,
T,42.083578985,-104.233423686,1256.3,-0.3,63.701,393.27,,,,,
T,42.084732754,-104.236150403,1255.0,-0.5,63.960,259.47,,,,,
T,42.085601790,-104.238187289,1255.0,0.0,64.154,194.22,,,,,
T,42.088085599,-104.244001647,1255.1,0.0,64.709,554.56,,,,,
T,42.091001999,-104.250827367,1256.2,0.2,65.360,651.04,,,,,
T,42.093054475,-104.255628101,1256.5,0.1,65.818,457.95,,,,,
T,42.095284397,-104.260626733,1257.6,0.2,66.300,482.03,,,,,
T,42.097353637,-104.265405592,1258.3,0.2,66.757,457.29,,,,,
T,42.098336751,-104.267913625,1258.6,0.1,66.992,234.46,,,,,
T,42.099152897,-104.269829141,1259.0,0.3,67.174,182.56,,,,,
T,42.101143012,-104.274490569,1260.3,0.3,67.619,444.46,,,,,
T,42.102982504,-104.278811943,1262.7,0.6,68.030,411.73,,,,,
T,42.104853848,-104.283086294,1268.3,1.4,68.441,410.13,,,,,
T,42.105310410,-104.284053985,1269.0,0.8,68.535,94.75,,,,,
